season,team,g,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
1988,"Dallas Mavericks",82,3468,7385,167,517,1499,1957,1200,2233,3433,2240,612,436,1228,1997,8602
1988,"Indiana Pacers",82,3335,7060,118,368,1858,2446,1160,2500,3660,1933,700,407,1269,1859,8646
1988,"Milwaukee Bucks",82,3344,7063,133,442,1832,2410,1172,2400,3572,2135,621,449,1346,1952,8653
1988,"New York Knicks",82,3202,6710,114,375,2177,2806,1155,2284,3439,2005,705,447,1631,1969,8695
1988,"Washington Bullets",82,3459,7235,128,390,1670,2246,1228,2364,3592,2134,690,527,1384,1966,8716
1988,"Los Angeles Lakers",82,3551,7467,131,439,1538,2020,1175,2249,3424,2200,732,390,1246,1940,8771
1988,"Philadelphia 76ers",82,3501,7063,143,423,1640,2163,1109,2225,3334,2217,718,441,1280,2118,8785
1988,"Houston Rockets",82,3454,7420,108,393,1805,2352,1261,2506,3767,1951,737,365,1405,2012,8821
1988,"Boston Celtics",82,3497,7260,110,366,1724,2249,1122,2194,3316,2061,734,346,1176,1989,8828
1988,"New Jersey Nets",82,3437,6918,131,363,1895,2419,1034,2461,3495,1993,809,522,1433,1942,8900
1988,"Los Angeles Clippers",82,3513,7360,124,363,1799,2309,1241,2666,3907,2300,842,483,1452,1912,8949
1988,"Seattle SuperSonics",82,3298,6798,130,400,2240,2992,1128,2306,3434,1964,606,423,1533,1963,8966
1988,"Portland Trail Blazers",82,3492,7341,141,462,2022,2632,1153,2400,3553,2154,648,376,1443,2135,9147
1988,"Denver Nuggets",82,3608,7356,113,377,1910,2508,1179,2748,3927,2171,621,510,1606,1989,9239
1988,"Phoenix Suns",82,3609,7248,128,421,1922,2506,1104,2416,3520,2225,710,441,1296,1901,9268
1988,"Sacramento Kings",82,3718,7465,120,370,1771,2326,1153,2424,3577,2176,784,533,1195,1951,9327
1988,"Golden State Warriors",82,3627,7244,152,470,2047,2700,1209,2509,3718,2271,747,432,1413,1811,9453
1988,"San Antonio Spurs",82,3851,7678,157,450,1855,2390,1292,2513,3805,2470,690,537,1427,1969,9714
1989,"Utah Jazz",82,3113,7170,185,606,1765,2342,1220,2233,3453,1812,779,505,1329,2086,8176
1989,"Detroit Pistons",82,3140,7022,158,554,1826,2325,1131,2188,3319,1855,646,341,1225,2088,8264
1989,"Cleveland Cavaliers",82,3385,7346,172,508,1358,1748,1214,2283,3497,2043,685,363,1429,1970,8300
1989,"Dallas Mavericks",82,3422,7304,166,515,1573,2090,1231,2500,3731,2133,660,386,1175,1869,8583
1989,"Chicago Bulls",82,3361,7098,193,590,1693,2190,1078,2300,3378,2099,686,348,1255,1781,8608
1989,"Milwaukee Bucks",82,3301,6901,196,533,1838,2369,1094,2335,3429,2109,707,425,1522,1935,8636
1989,"Atlanta Hawks",82,3363,7124,147,511,1826,2329,1261,2325,3586,2037,687,348,1487,2109,8699
1989,"Los Angeles Lakers",82,3541,7540,194,587,1542,2051,1178,2222,3400,2157,752,432,1263,1941,8818
1989,"Houston Rockets",82,3413,7290,187,534,1806,2372,1145,2428,3573,2015,800,439,1455,2013,8819
1989,"Boston Celtics",82,3475,7183,133,459,1780,2294,1048,2222,3270,2124,762,387,1191,1950,8863
1989,"Miami Heat",82,3384,6928,148,432,2021,2613,1188,2366,3554,2062,926,553,1543,1830,8937
1989,"Seattle SuperSonics",82,3437,7067,169,543,1915,2489,1188,2252,3440,1958,670,413,1553,1881,8958
1989,"New Jersey Nets",82,3560,7162,158,512,1749,2286,1030,2476,3506,2134,744,485,1376,1834,9027
1989,"Philadelphia 76ers",82,3658,7296,170,495,1565,2023,1149,2412,3561,2281,640,445,1269,1984,9051
1989,"Washington Bullets",82,3486,7235,155,510,1929,2510,1132,2538,3670,2082,655,523,1381,1921,9056
1989,"Phoenix Suns",82,3589,7736,181,568,1737,2308,1252,2458,3710,2166,625,427,1368,2057,9096
1989,"Sacramento Kings",82,3589,7420,181,573,1747,2301,1171,2604,3775,2107,759,442,1284,1821,9106
1989,"Indiana Pacers",82,3453,7400,167,547,2036,2606,1288,2312,3600,2034,836,389,1206,2029,9109
1989,"San Antonio Spurs",82,3486,7148,172,532,2105,2714,1256,2462,3718,2062,915,545,1728,1938,9249
1989,"New York Knicks",82,3636,7358,152,534,1834,2390,1213,2326,3539,2292,778,433,1688,1898,9258
1989,"Charlotte Hornets",82,3555,7113,115,399,2040,2629,1191,2621,3812,2061,710,441,1425,1791,9265
